City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,vaini,-21.2,-175.2,28.09,78,75,5.66,TO,1670288202
83,derzhavinsk,51.1,66.3167,-18.44,89,100,3.58,KZ,1670288203
84,buchanan,5.8808,-10.0467,25.4,87,100,1.28,LR,1670288203
85,butaritari,3.0707,172.7902,27.12,81,100,7.09,KI,1670288204
86,avera,33.194,-82.5271,11.88,98,100,3.97,US,1670288204
87,bluff,-46.6,168.3333,10.45,54,13,2.7,NZ,1670288205
88,chuy,-33.6971,-53.4616,18.0,94,0,2.98,UY,1670288205
89,kavieng,-2.5744,150.7967,28.85,68,71,0.72,PG,1670288206
90,xocali,39.913,46.7903,-2.21,94,44,0.66,AZ,1670288206
91,santo antonio do ica,-3.1022,-67.9397,23.48,96,100,0.52,BR,1670288207
92,bambous virieux,-20.3428,57.7575,24.14,83,75,4.63,MU,1670288207
93,appleton,44.2619,-88.4154,1.61,73,100,1.54,US,1670288142
94,port alfred,-33.5906,26.891,13.99,95,100,1.79,ZA,1670288208
95,waycross,31.2136,-82.354,19.03,94,100,2.06,US,1670288208
96,codrington,-38.2667,141.9667,15.78,61,55,4.07,AU,1670288209
97,lufilufi,-13.8745,-171.5986,33.88,75,89,4.16,WS,1670288209
98,las vegas,36.175,-115.1372,16.69,38,75,3.6,US,1670287560
99,chokurdakh,70.6333,147.9167,-39.72,100,38,1.95,RU,1670288210
100,necochea,-38.5473,-58.7368,26.33,45,0,9.62,AR,1670288210
101,guerrero negro,27.9769,-114.0611,17.3,88,13,7.35,MX,1670287977
102,barrow,71.2906,-156.7887,-2.99,74,40,12.35,US,1670288211
103,port-gentil,-0.7193,8.7815,27.13,77,100,3.03,GA,1670288211
104,jamestown,42.097,-79.2353,6.42,30,0,4.12,US,1670288073
105,saint-francois,46.4154,3.9054,-2.4,100,100,0.0,FR,1670288212
106,qaanaaq,77.484,-69.3632,1.07,73,100,7.18,GL,1670288213
107,faanui,-16.4833,-151.75,26.66,76,46,7.48,PF,1670288213
108,imbituba,-28.24,-48.6703,24.92,97,82,3.51,BR,1670288214
109,fuyu,45.1833,124.8167,-11.61,57,0,5.98,CN,1670288214
110,chifeng,42.2683,118.9636,-7.88,28,0,5.61,CN,1670288215
111,meulaboh,4.1363,96.1285,23.8,90,100,2.3,ID,1670288215
112,zhigansk,66.7697,123.3711,-32.91,100,91,2.15,RU,1670288216
113,yumen,40.2833,97.2,-10.25,89,98,0.78,CN,1670288216
114,provideniya,64.3833,-173.3,0.2,93,100,15.2,RU,1670288217
115,kaitangata,-46.2817,169.8464,14.39,46,62,5.42,NZ,1670288010
116,flinders,-34.5833,150.8552,20.7,65,80,4.34,AU,1670288218
117,mahebourg,-20.4081,57.7,24.16,83,75,4.63,MU,1670288218
118,altay,47.8667,88.1167,-15.63,81,29,2.71,CN,1670288219
119,izhma,65.0083,53.9113,-16.22,90,41,3.66,RU,1670288219
120,balkhash,46.844,74.9804,-17.33,85,3,3.41,KZ,1670288136
121,hami,42.8,93.45,-5.61,43,100,2.09,CN,1670288220
122,brokopondo,4.75,-55.1667,24.95,78,100,2.06,SR,1670288220
123,andenes,69.3143,16.1194,2.18,86,75,15.43,NO,1670288222
124,aquiraz,-3.9014,-38.3911,27.32,78,4,5.91,BR,1670288222
125,mount gambier,-37.8333,140.7667,18.06,44,100,3.3,AU,1670288223
126,kutum,14.2,24.6667,14.54,29,0,5.07,SD,1670288223
127,bengkulu,-3.8004,102.2655,24.97,86,100,0.89,ID,1670287939
128,porbandar,21.6422,69.6093,20.28,42,0,5.46,IN,1670288224
129,tiznit,29.5833,-9.5,13.9,87,100,0.73,MA,1670288225
130,sosnovskoye,55.8052,43.167,-11.14,87,100,2.9,RU,1670288225
131,rio grande,-32.035,-52.0986,20.06,86,0,3.97,BR,1670288005
132,manikganj,23.8553,90.0125,18.99,80,0,3.11,BD,1670288226
133,alofi,-19.0595,-169.9187,26.94,83,75,4.12,NU,1670288227
134,hilliard,40.0334,-83.1582,7.61,53,100,2.06,US,1670288054
135,klyuchi,52.2667,79.1667,-21.44,99,89,2.02,RU,1670288228
136,nikolsk,53.7189,46.0712,-15.17,91,20,0.93,RU,1670288228
137,sinnamary,5.3833,-52.95,24.98,90,76,3.64,GF,1670288229
138,saint george,37.1041,-113.5841,13.33,63,40,3.6,US,1670288040
139,soe,-9.8607,124.284,27.78,39,76,0.61,ID,1670288230
140,khatanga,71.9667,102.5,-26.45,92,100,4.19,RU,1670288230
141,san pedro,14.35,121.0167,30.18,72,20,4.36,PH,1670288231
142,saint-philippe,-21.3585,55.7679,22.77,85,98,4.66,RE,1670288231
143,hillsborough,37.5741,-122.3794,13.79,81,75,3.09,US,1670288154
144,sokoni,-6.4333,39.55,26.59,78,100,3.91,TZ,1670288232
145,victoria,22.2855,114.1577,17.36,77,100,5.36,HK,1670287980
146,riverton,40.5219,-111.9391,2.47,84,100,3.58,US,1670288233
147,itarema,-2.9248,-39.9167,26.29,78,9,7.42,BR,1670288234
148,blagoyevo,63.3667,47.9167,-12.66,95,69,3.1,RU,1670288234
149,arman,59.7,150.1667,-25.95,88,12,3.33,RU,1670288235
150,klaksvik,62.2266,-6.589,3.51,61,78,11.65,FO,1670288235
151,qasigiannguit,68.8193,-51.1922,-1.7,69,85,4.54,GL,1670288236
152,mar del plata,-38.0023,-57.5575,24.01,83,0,6.71,AR,1670288236
153,batemans bay,-35.7167,150.1833,19.5,62,94,2.95,AU,1670288237
154,deep river,46.1001,-77.4995,3.86,72,100,2.63,CA,1670288237
155,awbari,26.5921,12.7805,19.29,21,0,5.52,LY,1670288237
156,atasu,48.6814,71.6433,-26.31,97,54,1.84,KZ,1670288238
157,deputatskiy,69.3,139.9,-34.05,96,100,0.87,RU,1670287974
158,east london,-33.0153,27.9116,15.0,80,6,3.82,ZA,1670288239
